"DATASET","REP","CLIM_YR","PLT_SZ","SurvRate_JAGS","SurvRate_JAGSnoMs","SurvRate_GLMM","SurvRate_True","GrwthRate_JAGS","GrwthRate_JAGSnoMs","GrwthRate_GLMM","GrwthRate_True"
"SimDat20yr",10,2017,11.394562374498,0.966176268737771,0.926973754858177,0.908053962025944,0.931116897750349,11.07058464326,11.7522192141491,13.5939219599114,10.2227814011529
"SimDat20yr",10,2017,14.3928317919052,0.971060725808451,0.936711532049423,0.918401389052099,0.938848801822284,13.191745151951,13.8003578064816,15.7697428898524,12.1765682938545
"SimDat20yr",10,2017,17.4168456893173,0.974534502567655,0.943749421566944,0.926050284299998,0.944551672288415,15.221471277954,15.7344431330677,17.8018995701552,14.0454518296251
"SimDat20yr",10,2017,20.4492023787929,0.977140527856943,0.949095679291602,0.93197071545883,0.94895965741948,17.1699042589305,17.5708074120087,19.7138487933909,15.838940185869
"SimDat20yr",10,2017,23.4679857009673,0.979167136618657,0.953295396058747,0.936696396941637,0.952474907866293,19.0389996326103,19.3160493542401,21.5168861518988,17.558956721038
"SimDat20yr",10,2017,26.4680666305487,0.98079304820195,0.956693033686959,0.94057287905771,0.955356758132898,20.8378175250362,20.9821676611003,23.2266608403862,19.2139317806776
"SimDat20yr",10,2017,29.4813766244729,0.982144107242864,0.95953651245319,0.943857118937104,0.957797381439161,22.5939555264843,22.5971799091967,24.8741747261414,20.8293209200114
"SimDat20yr",10,2017,32.4669190254479,0.983273482773546,0.961928185183366,0.946650028993299,0.959872381185205,24.2901917494251,24.1471588031297,26.4469568566182,22.3893333658538
"SimDat20yr",10,2017,35.4521633345378,0.984241952724401,0.963990289986926,0.949082077996724,0.961679030752927,25.9477215550581,25.6530452260984,27.9676740266395,23.9135044842599
"SimDat20yr",10,2017,38.3948724021863,0.985072079378696,0.965766382557708,0.951195774741899,0.963249096021862,27.547839207521,27.0991561405988,29.4216607177787,25.3846689796374
